종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
,금강고속,사업장,육상 여객 운송업,,"23,408",340,,,,,,,
014280,금강공업,사업장,비철금속,금속,"13,809",238,KOSPI,1.77736E+11,D,C,D,D,
,금남고속,사업장,육상 여객 운송업,,"22,296",318,,,,,,,
008870,금비,사업장,유리 및 유리제품 제조업,비금속,"84,439","1,195",KOSPI,51700000000,D,D,D,C,
001570,금양,,,화학,,,KOSPI,,D,C,D,D,
,금진해운(주),사업장,교통(해운),,"15,981",221,,,,,,,
002990,금호건설,,,건설,,,KOSPI,,B+,B,A,B,
,금호고속(주),업체,육상 여객 운송업,,"6,064",126,,,,,,,
,금호미쓰이화학 주식회사,사업장,기초 화학물질 제조업,,"170,330","3,037",,,,,,,
011780,금호석유화학,업체,합성고무 및 플라스틱 물질 제조업,화학,"3,308,643","41,348",KOSPI,3.14203E+12,B+,A,A+,B,
214330,금호에이치티,,,운송장비·부품,,,KOSPI,,D,C,D,D,
,금호익스프레스 주식회사,업체,육상 여객 운송업,,"100,236","1,438",,,,,,,
001210,금호전기,,,전기·전자,,,KOSPI,,D,C,D,D,
073240,금호타이어,업체,고무제품 제조업,화학,"260,704","5,354",KOSPI,1.68335E+12,B+,A,B+,B+,
,금호폴리켐주식회사,업체,합성고무 및 플라스틱 물질 제조업,,"328,101","5,564",,,,,,,
,금호피앤비화학 주식회사,업체,기초 화학물질 제조업,,"803,074","10,919",,,,,,,
092440,기신정기,,,기계·장비,,,KOSPI,,D,D,D,C,
000270,기아,업체,자동차용 엔진 및 자동차 제조업,운송장비·부품,"709,750","14,534",KOSPI,4.75523E+13,A,A+,A+,B+,
024110,기업은행,,,은행,,,KOSPI,,B+,A+,A+,B,
,기초과학연구원,사업장,건물,,"22,733",485,,,,,,,
,김천시,사업장,"하수, 폐수 및 분뇨 처리업",,"43,214",374,,,,,,,
,김천에너지서비스주식회사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"689,186","8,017",,,,,,,
,김포시,사업장,폐기물 처리업,,"54,659",602,,,,,,,
,김포운수(주),사업장,육상 여객 운송업,,"16,961",315,,,,,,,
,김해시,사업장,폐기물 처리업,,"117,612","1,324",,,,,,,
013700,까뮤이앤씨,,,건설,,,KOSPI,,C,D,D,B,
004540,깨끗한나라,업체,"펄프, 종이 및 판지 제조업",종이·목재,"332,386","4,353",KOSPI,70794557393,B,B,B+,B,
121600,나노신소재,,,화학,,,KOSDAQ,,C,C,D,C,
,나래에너지서비스 주식회사,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",,"1,822,245","36,262",,,,,,,
089600,나스미디어,,,일반서비스,,,KOSDAQ,,B+,B+,A,B+,
293580,나우IB,,,금융,,,KOSDAQ,,D,D,D,C,
,나투라페이퍼 주식회사,업체,"펄프, 종이 및 판지 제조업",,"165,385","1,215",,,,,,,
